id,name,yr,part1,part2,part3,part4,part5,part6,part7,part8,part9,part10,part11,part12,part13,part14,part15,part16,part17,part18,part19,part20,part21,part22,part23,part24,part25,part26,part27,part28,comments,source,source2
1,Индра-2018,2018,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://structure.mil.ru/mission/practice/all/more.htm?id=12204780@egNews,
2,Боевое братство-2018,2018,Armenia,Belarus,Kazakhstan,Kyrgyzstan,Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,https://structure.mil.ru/mission/practice/all/more.htm?id=12205617@cmsArticle,
3,Славянское братство-2018,2018,Belarus,Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://structure.mil.ru/mission/practice/all/more.htm?id=12181592@egNews,
4,Боевое братство-2017,2017,Armenia,Belarus,Kazakhstan,Kyrgyzstan,Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,https://structure.mil.ru/mission/practice/all/more.htm?id=12144354@egNews,
5,Запад-2017,2017,Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://structure.mil.ru/mission/practice/all/more.htm?id=12140115@egNews,
6,Славянское братство-2017,2017,Belarus,Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://structure.mil.ru/mission/practice/all/more.htm?id=12127104@egNews,
7,Славянское братство-2016,2016,Belarus,Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://structure.mil.ru/mission/practice/all/more.htm?id=12098822@egNews,
8,Защитники дружбы-2016,2016,Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://structure.mil.ru/mission/practice/all/more.htm?id=12098828@egNews,
9,Российско-белорусское совместное тактическое учение,2016,Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://structure.mil.ru/mission/practice/all/more.htm?id=12098825@egNews,
10,БАРС-2016,2016,Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://structure.mil.ru/mission/practice/all/more.htm?id=12098823@egNews,
11,Дружба-2016,2016,Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://structure.mil.ru/mission/practice/all/more.htm?id=12096967@egNews,
12,Индра-2016,2016,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://structure.mil.ru/mission/practice/all/more.htm?id=12096736@egNews,
13,Индра-2015,2015,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://structure.mil.ru/mission/practice/all/more.htm?id=12062867@egNews,
14,Центр-2015,2015,Armenia,Belarus,Kazakhstan,Kyrgyzstan,Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,https://structure.mil.ru/mission/practice/all/more.htm?id=12055124@egNews,
15,Щит Союза-2015,2015,Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://structure.mil.ru/mission/practice/all/more.htm?id=12054684@egNews,
16,Славянское братство - 2015,2015,Belarus,Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://structure.mil.ru/mission/practice/all/more.htm?id=12054921@egNews,
17,Взаимодействие-2015,2015,Armenia,Belarus,Kazakhstan,Kyrgyzstan,Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,https://structure.mil.ru/mission/practice/all/more.htm?id=12054126@egNews,
18,Морское взаимодействие – 2015,2015,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://structure.mil.ru/mission/practice/all/more.htm?id=12053864@egNews,
19,Селенга-2015,2015,Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://structure.mil.ru/mission/practice/all/more.htm?id=12053581@egNews,
20,Мост дружбы-2015,2015,Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://structure.mil.ru/mission/practice/all/more.htm?id=12041047@egNews,
21,Морское взаимодействие-2015,2015,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://structure.mil.ru/mission/practice/all/more.htm?id=12031526@egNews,
22,Индра-2014,2014,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://structure.mil.ru/mission/practice/all/more.htm?id=11989942@egNews,
23,Мирная миссия-2014,2014,China,Kazakhstan,Kyrgyzstan,Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,https://structure.mil.ru/mission/practice/all/more.htm?id=11980948@egNews,
24,Морское взаимодействе-2014,2014,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://structure.mil.ru/mission/practice/all/more.htm?id=11930693@egNews,
25,Иониекс-2013,2013,Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://structure.mil.ru/mission/practice/all/more.htm?id=11866489@egNews,
26,Индра-2013,2013,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://structure.mil.ru/mission/practice/all/more.htm?id=11862506@egNews,
27,Нерушимое братство-2013,2013,Armenia,Belarus,Kazakhstan,Kyrgyzstan,Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,https://structure.mil.ru/mission/practice/all/more.htm?id=11855450@egNews,
28,Запад-2013,2013,Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://structure.mil.ru/mission/practice/all/more.htm?id=11844520@egNews,
29,Боевое содружество-2013,2013,Belarus,Kazakhstan,Kyrgyzstan,Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,https://structure.mil.ru/mission/practice/all/more.htm?id=11840580@egNews,
30,Бдительный орёл-2013,2013,Canada,United States of America,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://structure.mil.ru/mission/practice/all/more.htm?id=11837088@egNews,
31,Мирная миссия-2013,2013,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://structure.mil.ru/mission/practice/all/more.htm?id=11820695@egNews,
32,Баренц-2013,2013,Norway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://structure.mil.ru/mission/practice/all/more.htm?id=11767708@cmsArticle,
