exports,imports,year,total_exports,total_imports
4147690633,1910349234,2010,3.39673E+11,2.40835E+11
4210902016,2943775907,2011,3.39673E+11,2.40835E+11
3139764566,2790196252,2012,3.39673E+11,2.40835E+11
2972651481,2675972233,2013,3.39673E+11,2.40835E+11
3821011347,3013434727,2014,3.39673E+11,2.40835E+11
2463242914,2220842892,2015,3.39673E+11,2.40835E+11
2299894613,2020634544,2016,3.39673E+11,2.40835E+11
2736531853,2665817852,2017,3.39673E+11,2.40835E+11
1654847021,3403255124,2018,3.39673E+11,2.40835E+11
1618719276,3715806864,2019,3.39673E+11,2.40835E+11
1523729890,2747251333,2020,3.39673E+11,2.40835E+11
1587205423,5698759353,2021,3.39673E+11,2.40835E+11
1959195743,7853002061,2022,3.39673E+11,2.40835E+11
1344136128,10004969342,"2,023.00",3.39673E+11,2.40835E+11
